farm_id,growth_rate_timestamp,growth_rate,weather_data_count,date_cos,avg_air_temperature_celsius_24h,min_air_temperature_celsius_24h,max_air_temperature_celsius_24h,median_air_temperature_celsius_24h,var_air_temperature_celsius_24h,max_global_horizontal_irradiance_24h,avg_ghi_18h_10h_utc,median_ghi_18h_10h_utc,total_sunshine_duration_24h,max_precipitation_rate_24h,var_precipitation_rate_24h,total_rain_duration_24h,growing_degree_days_24h
e2f6b76c-7ad5-4db0-a70f-107e3e2fd32f,2024-10-28 10:00:00,59.63766,48,0.2428497220959358,9.59375,5.0,15.0,8.5,10.17719414893617,929.0,434.1470588235294,440.5,13.0,0.2,0.002543218085106383,4.5,4.59375
e2f6b76c-7ad5-4db0-a70f-107e3e2fd32f,2024-10-27 10:00:00,59.99222,48,0.22611568550828803,8.770833333333334,6.0,13.0,8.5,4.70168439716312,841.0,312.97058823529414,206.0,13.0,0.5,0.012748226950354609,5.0,3.7708333333333335
01b6acd6-ff5e-4942-aef6-380d6d1839dd,2024-05-16 11:00:00,36.64026,48,-0.5197438121555155,12.46875,10.0,16.0,12.0,4.05751329787234,333.0,78.63235294117646,45.5,9.0,0.5,0.021449468085106383,10.0,7.46875
01b6acd6-ff5e-4942-aef6-380d6d1839dd,2024-05-07 11:00:00,44.07083,48,-0.3816892202666588,10.302083333333334,5.0,13.0,11.0,5.2738253546099285,325.0,125.16176470588235,60.0,9.5,0.5,0.025279255319148937,7.0,5.302083333333333
01b6acd6-ff5e-4942-aef6-380d6d1839dd,2024-05-01 11:00:00,39.21672,48,-0.2843591872810034,11.9375,6.0,19.0,13.0,21.66622340425532,567.0,156.26470588235293,92.5,9.0,1.1,0.0521276595744681,5.0,6.9375
01b6acd6-ff5e-4942-aef6-380d6d1839dd,2024-04-24 11:00:00,43.97396,48,-0.16705162550211924,10.572916666666666,6.0,18.0,9.0,19.67010195035461,623.0,235.13235294117646,145.0,10.5,0.0,0.0,0.0,5.572916666666667
01b6acd6-ff5e-4942-aef6-380d6d1839dd,2024-04-23 11:00:00,36.29469,48,-0.1500553983446526,12.322916666666666,8.0,19.0,10.0,16.600953014184398,666.0,247.63235294117646,174.0,10.5,0.0,0.0,0.0,7.322916666666667
01b6acd6-ff5e-4942-aef6-380d6d1839dd,2024-04-15 11:00:00,22.48578,48,-0.01291029607500882,12.739583333333334,9.0,19.0,11.5,12.233931737588653,600.0,166.6764705882353,129.5,10.5,0.3,0.005318040780141843,3.5,7.739583333333333
01b6acd6-ff5e-4942-aef6-380d6d1839dd,2024-04-08 11:00:00,28.58835,48,0.10738134666416309,14.677083333333334,12.0,19.0,13.0,6.005208333333332,465.0,151.5,90.0,10.0,0.2,0.0029388297872340427,7.0,9.677083333333334
01b6acd6-ff5e-4942-aef6-380d6d1839dd,2024-04-07 11:00:00,27.69459,48,0.12447926388678915,14.645833333333334,13.0,19.0,14.0,3.499556737588653,546.0,163.85294117647058,139.5,10.5,0.1,0.0024822695035461,14.0,9.645833333333334
